Hedysarum xizangensis	西藏岩黄芪
Paraclius subincisus	近凹须弓脉长足虻
Arthromeris elegans f. pianmaensis	片马节肢蕨
Hemiboea gamosepala	合萼半蒴苣苔
Rhododendron gologense	果洛杜鹃
Papilio polyctor	波绿翠凤蝶
Plectrohyla hartwegi	哈特拇雨蛙
Raja acutispinna	尖棘鳐
Heterosmilax chinensis	华肖菝葜
Pedicularis corydaloides	拟紫堇马先蒿
Phasianus colchicus subsp. rothschildi	环颈雉
Sundasciurus fraterculus	伪松鼠
Metynnis lippincottianus	密斑银板鱼
Lepidosteidae 见	 
Saussurea oblongifolia	长圆叶风毛菊
Percina caprodes	木头似鲈
Centropus monachus	蓝头鸦鹃
Aster langaoensis	兰皋紫菀
Caberea lata	美髯松苔虫
Ceyx erithacus	三趾翠鸟
Apristurus canutus	灰光尾鲨
Phalanta phalantha subsp. phalantha	珐蛱蝶指名亚种
Dibamus novae-guineae Dumeril et Bibron	双足蜥
Pedinophyllum truncatum	大萼平叶苔
Mus mayori	斯里兰卡小家鼠
Chrysotus xinjiangensis	新疆小异长足虻
Lexias dirtea	黑角律蛱蝶
Ligusticum yunnanense	云南藁本
Grandala coelicolorHodgson	蓝大翅鸲
Celtis bungeana	黑弹树
Scutellaria shansiensis	山西黄芩
Passerella iliaca	狐色带鹀
Cheirostylis liukiuensis	琉球叉柱兰
Carinotetraodon salivator	纹唇龙脊鲀
Gallicrex cinerea	董鸡
Lycocorax pyrrhopterus	褐翅风鸟
Larix himalaica	喜马拉雅红杉
Caveana senuri	新穴祝蛾
Psammophis notostictus Peters	背斑花条蛇
Saxicola maura	黑喉石䳭
Rhododendron mekongense var. rubrolineatum	红线弯月杜鹃
Elops saurus	海鲢
Primula bathangensis	巴塘报春
Kaempferia rotunda	海南三七
Primula klattii	单朵垂花报春
Petrogale persephone	蒲河岩袋鼠
Chromis virides	蓝绿光鳃鱼
Limnophis bicolor Guenther	泽蛇
Aconitum yinschanicum	阴山乌头
Eulalia viridis	巧言虫
Delphinium leiostachyum	光轴翠誉花
Indosialis bannaensis	版纳印泥蛉
Clausena dunniana var. robusta	毛齿叶黄皮
Treron capellei	大绿鸠
Hyphessobrycon columbianus	哥伦比亚魮脂鲤
Dimeria solitaria	单生觿茅
Abelia forrestii	细瘦六道木
Zyzomys woodwardi (Thomas)	伍氏白尾鼠
Deyeuxia pulchella	小丽茅
Impatiens wilsonii	白花凤仙花
Mesorhaga setosa	多鬃孤脉长足虻
Strobilanthes thomsonii	聂拉木马蓝
Satyrus ferula	玄裳眼蝶
Halodule uninervis	二药藻
Salacia cochinchinensis	柳叶五层龙
Parnassius orleans	珍珠绢蝶
Diomedea immutabilis	黑背信天翁
Barbus nasus	大鼻魮
Bolyphantes alticeps	锐齿刺蛛
Megalurus palustris subsp. toklao	沼泽大尾莺
Presbytis thomasi	托马斯叶猴;托马斯氏叶猴
Bufo ramsdeni Barbour	拉姆蟾蜍
Acanthiza inornata	西刺嘴莺
Dromia wilsoni	威尔逊绵蟹
Spiradiclis xizangensis	西藏螺序草
Phyllastrephus lorenzi	洛氏旋叶鹎
Cephalophus leucogaster	白腹小羚羊
Cymatium sinensis	中华嵌线螺
Coelogyne ovalis	长鳞贝母兰
Lanius meridionalis subsp. pallidirostris	南灰伯劳
Dichrozona cincta	带斑蚁鸟
Clorida albolitura	白斑绿虾蛄
Coelogyne calcicola	滇西贝母兰
Lepidobatrachus lanensis Reig et Cei	利亚疣鳞蟾
Sardinella sindensis	印度小沙丁鱼;信德沙丁鱼
Uromyces trifolii	车轴草单胞锈菌
Arcania globata	球形栗壳蟹
Sanguisorba diandra	疏花地榆
Argiope catenulata	链斑金蛛
Ribes giraldii var. cuneatum	滨海茶藨子
Pseudomys australis	伪鼠
Natrix grahami	黄唇游蛇
Thladiantha cordifolia var. tomentosa	茸毛赤
Onychostoma barbatum	粗须白甲鱼
Dianthus barbatus var. barbatus	须苞石竹
Epipactis humilior	矮火烧兰
Platanus orientalis	净土树
Orostachys fimbriata	瓦松
Ptilinopus leclancheri subsp. taiwanus	黑颏果鸠
Pseudoeurycea unguidentis	长腿涓螈
Lindera erythrocarpa	红果山胡椒
Callicarpa macrophylla	大叶紫珠
Nemachilus binotatus	双斑条鳅
Oxyura australis	蓝嘴硬尾鸭
Kingidium deliciosum	大尖囊兰
Hyla crucifer Wied	啾呜雨蛙
Batrachium pekinense	北京水毛茛
Caragana ussuriensis	乌苏里锦鸡儿
Curetis bulis subsp. doxa	银灰蝶海南亚种
Cleyera parvifolia	小叶红淡比
Sedum lutzii var. viridiflavum	黄绿景天
Cyrtomium omeiense	峨眉贯众
Picus vittatus	纹腹绿啄木;花腹绿啄木鸟
Actinidia obovata	倒卵叶猕猴桃
Philautus rhododiscus	红吸盘小树蛙
Gentiana micans	亮叶龙胆
Cymbidium micranthum	细花兰
Hypnea boergesenii	密毛沙菜
Micromelalopha troglodytodes	锯小舟蛾
Amblygobius sphynx	蛾钝鰕虎鱼
Eupsophus petropolitanus	佩特罗响蟾
Orthosiphon marmoritis	石生鸡脚参
Pedicularis laxiflora	疏花马先蒿
Cortinarius iodes	紫光丝膜菌
Linum pallescens	短柱亚麻
Apus melba	高山雨燕
Cyclosa mulmeinensis	角腹艾蛛
Coeligena lutetiae	黄翅星额蜂鸟
Chromis alleni	艾仑光鳃鱼;艾伦光鳃鱼
Kengyilia pamirica	帕米尔以礼草
Hyperaeschra pallida	黄檀丑舟蛾
Bufo cavator Barbour	洞蟾蜍
Bulbophyllum macraei	乌来卷瓣兰
Ophiomorus blanfordi	桑蜥
Glaucium squamigerum	新疆海罂粟
Paragymnopteris vestita	金毛裸蕨
Pylocheles macrop	长腿门螯寄居蟹
Carcharhinus microphthalmus	小眼真鲨
Bractechlamys oweni	欧氏薄齿扇贝
Hypsipetes leucocephalus subsp. perniger	黑短脚鹎
Anthidium oblongatum	长黄斑蜂
Sibbaldia purpurea	紫花山莓草;大瓣紫花山莓草
Pseudotyphlops philppinus Schlegel	凸尾蛇
Pedicularis flava	黄花马先蒿
Thalamita pelsarti	棕斑短桨蟹
Machilus chayuensis	察隅润楠
Dendrortyx leucophrys	黄顶树鹑
Cyrtodactylus redimiculus King	巴拉望弓趾虎
Crassocephalum crepidioides	野茼蒿
Raetellops rostralis	喙波纹蛤
Bolitoglossa helmrichi	赫氏游舌螈
Aporia larraldei subsp. larraldei	三黄绢粉蝶指名亚种
Puccinia hennopsiana	亨诺普斯柄锈菌
Barbus kissiensis	基西魮
Diaphorus apiciniger	黑端异长足虻
Puccinia obtecta	覆盖柄锈菌
Kalimeris longipetiolata	长柄马兰
Pseudotaxiphyllum densum	密叶拟鳞叶藓
Piprites griseiceps	灰头侏儒鸟
Coelioxys polycentris	多刺尖腹蜂
Telicota ohara subsp. formosana	黄纹长标弄蝶台湾亚种
Trochocercus cyanomelas	海角凤头鹟
Xylosma controversum	南岭柞木;毛叶南岭柞木
Melicope triphylla	三叶密茱萸
Cranioleuca antisiensis	线颊针尾雀
Phoxinus percnurus	湖鱥
Decametra mylitta	细十腕羽枝
Agapetes leucocarpa	白果树萝卜
Ortygospiza atricollis	黑领鹑雀;黑颏鹑雀
Lepidotrigla abyssalis	深海红娘鱼
Epinephelus tauvina	巨石斑鱼
Paranursia abbreviata	短小拟五角蟹
Anthreptes reichenowi	纯背直嘴太阳鸟
Certhia familiaris subsp. khamensis	欧亚旋木雀
Dupetor flavicollis	黑苇鳽;黑鳽;黑鸻
Melidectes torquatus	棕胸大蜜鸟
Peplis alternifolia	荸艾
Hyarotis adrastus subsp. prabus	希弄蝶印度亚种
Hippolais pallida	草绿篱莺
Gerbera maxima	箭叶大丁草
Corydalis polyphylla	多叶紫堇
Malacopteron affine	纯色树鹛
Delichon urbicum subsp. lagopodum	毛脚燕
Hynobius retardatus	滞育小鲵
Dodona eugenes subsp. esakii	银纹尾蚬蝶江琦亚种
Cyclosa argenteoalba	银背艾蛛
Simomantis latopalmata	扁臂蛙
Mactra maculata	斑蛤蜊
Beckmannia syzigachne	毛颖菵草;菵草
Frommeëlla mexicana	委陵菜小弗氏锈菌
Luzula rufescens var. macrocarpa	大果地杨梅
Macronous gularis	纹胸鹛;纹胸巨鹛
Scapanulus oweni	甘肃鼹
Selaginella sinensis	中华卷柏
Camellia luteoflora	小黄花茶
Phrynosoma coronatum Blainvile	冠状角蜥
Rhododendron decorum subsp. diaprepes	高尚大白杜鹃
Nepeta kokanica	绒毛荆芥
Elatostema napoense	那坡楼梯草
Ulmus pumila var. sabulosa	锡盟沙地榆
Primula kialensis	等梗报春;短筒等梗报春
Phyllostachys propinqua	早园竹
Ptychadena maccarthyensis	麦卡锡皱蛙
Abarema elliptica	滇西围涎树
Rosa miyiensis	米易蔷薇
Dayaoshania cotinifolia	瑶山苣苔
Eritrichium villosum	长毛齿缘草
Cosmotriche inexperta subsp. inexperta	松小枯叶蛾指名亚种
Apomys hylocoetes	木床鼠
Cornus chinensis	川鄂山茱萸
Pyrrhula erythrocephalaVigors	红头灰雀
Barbus platyrhinus	扁吻魮
Tortula leptotheca	长蒴墙藓
Ancylostemon ronganensis	融安直瓣苣苔
Bouteloua curtipendula	垂穗草
Cacosternum namaquense	纳马弱胸蛙
Impatiens xanthina	金黄凤仙花;细小金黄凤仙花
Tectaria subtriphylla	三叉蕨
Remiz flavifrons	林攀雀
Poeciliopsis viriosa	壮体若花鳉
Barbus alluaudi	奥氏魮
Duthiea brachypodium	毛蕊草
Eothenomys chinensis	中华绒鼠;中国绒鼠
Mino anais	金腰树八哥
Corvus moneduloides	新加利多尼亚鸦
Psilopogon pyrolophus	火簇拟啄木
Osteochilus kelabau	凯拉纹唇鱼
Deutzia pilosa	褐毛溲疏
Alloeopagurodes spiniacicula	尖刺异仔寄居蟹
Peltops blainvillii	低地盾鹟
Syrphophagus chinensis	中华食蚜蝇跳小蜂
Hemipenthes exoprosopoides	庸斑翅蜂虻
Pseudogastromyzon cheni Liang	圆斑拟腹吸鳅
Hylambates haugi	豪格援木蛙
Coelothrix irregularis	不规则腔腺藻
Begonia dryadis	厚叶秋海棠
Coralliocaris superba	褐点珊瑚虾
Paracaridina guizhouensis	贵州拟米虾
Dravidogecko anamallensis	速虎
Sturnus sturninus (Pallas,)	北椋鸟
Goniolimon speciosum var. strictum	直杆驼舌草
Impatiens nyimana	米林凤仙花
Cyclosorus yunnanensis	云南毛蕨
Corsiopsis chinensis	中华白玉簪
Tylomys nudicaudus	裸尾攀鼠
Lipinia semperi	森氏滑蜥
Salmo peristericus	鸽鳟
Puccinia stenospora	窄孢柄锈菌
Phragmidium fragariastri	委陵菜短柄多胞锈菌
Paraclius nudus	纯净弓脉长足虻
Cyclobalanopsis jinpinensis	金平青冈
Hsisosuchus chungkingensis	重庆西蜀鳄
Chrysso spiniventris	刺腹丽蛛
Atelopus longirostris Cope	长吻斑蟾
Cyclosorus oblanceolatus	倒披针毛蕨
Euonymus hukuangensis	湖广卫矛
Cetoconcha gloriosa	荣怪蛤
Phalera brevisa	短掌舟蛾
Campages mariae	玛丽康普贝
Epilobium brevifolium	短叶柳叶菜;腺茎柳叶菜
Ficus gasparriniana var. esquirolii	长叶冠毛榕
Gracilaria mixta	混合江蓠
Orthotrichum hooglandii	颈领木灵藓
Fejervarya limnocharis	泽蛙;田鸡
Phylloscopus sindianusBrooks	东方叽咋柳莺
Chrysomyxa succinea	琥珀金锈
Uria aalge	崖海鸦;普通海鸦
Hymenophyllum austrosinicum	华南膜蕨
Melanoseris souliei	康滇毛鳞菊
Eremias namaquensis Dumeril et Bibron	黑纹麻蜥
Amazilia  lactea	蓝喉蜂鸟
Olea tsoongii	云南木犀榄
Bolitoglossa nigroflavescens Taylor	黑黄游舌螈
Ilex fragilis	毛薄叶冬青;薄叶冬青
Monticola solitarius subsp. longirostris	蓝矶鸫
Mycalesis sudra	苏达眉眼蝶
Colysis elliptica var. pothifolia	宽羽线蕨
Hedychium bijiangense	碧江姜花
Cercopithecus albogularis	白喉长尾猴
Holothuria albiventer	白腹海参
Achyranthes bidentata f. rubra	红叶牛膝
Hyastenus pleione	慈母互敬蟹
Hylobates moloch	银白长臂猿
Euphorbia granulata	土库曼大戟
Ormocarpum cochinchinense	链夹木
Neptis miah subsp. disopa	弥环蛱蝶峨眉亚种
Hercostomus himertus	美寡长足虻
Asterophrys louisiadensis	路易星蛙
Ficus gracilis	长琵琶螺
Cricosaurus typica	粒蜥
Astragalus batangensis	巴塘黄耆
Laportea violacea	葡萄叶艾麻
Liparis sootenzanensis	插天山羊耳蒜
Carex lancifolia	披针薹草
Euonymus lucidus	光亮卫矛
Carassius auratus burgeri	布氏鲫
Parodontophora marina	海洋拟齿线虫
Asarum wulingense	五岭细辛
Arum korolkowii	疆南星
Bromus pumpellianus	紧穗雀麦
Periergos kamadena	纵纡舟蛾
Papilio macilentus	妹美凤蝶
Tympanocryptis tetraporophora Ducas et Frost	澳南隐鼓蜥
Microlepia substrigosa	亚粗毛鳞盖蕨
Xenodon guentheri	甘氏异齿蛇
Hyperolius argus Peters	丽点非洲树蛙
Barbus bawkuensis	鲍氏魮
Sinilabeo yunnanensis	云南华鲮
Justicia procumbens var. latispica	宽穗爵床
Poikilospermum lanceolatum	毛叶锥头麻
Melanerpes rubricomus	红肛啄木
Neolitsea chuii	鸭公树
Rhinolophus philippinensis	菲律宾菊头蝠
Triticum aestivum	小麦;西藏小麦;云南小麦
Heterohyrax brucei	小齿蹄兔
Saussurea licentiana	川陕风毛菊
Mimopydna kotlarovae	柯拟皮舟蛾
Liophis parvifrons	小额滑蛇
Clibanarius longitarsus	扁长细螯寄居蟹
Pteroglossus flavirostris	象牙嘴阿拉卡鴷
Chamaerhodos trifida	三裂地蔷薇
Astragalus camptodontus	丽江黄耆;弯齿黄芪
Tadarida lobata	叶耳皱唇蝠;大耳犬吻蝠
Pteris finotii	疏裂凤尾蕨
Chilomycterus echinatus	刺额短刺鲀
Lonchophylla dekeyseri	德氏长舌蝠
Agama robecchii	索北鬣蜥
Nyctocalos pinnatum	羽叶照夜白
Chaetogonopteron chebalingense	车八岭短跗长足虻
Alopecosa inquilina	客居舞蛛
Phylloscopus schwarzi (Radde,)	巨嘴柳莺
Ribes gyirongense	吉隆茶藨
Denisonia brunea	维济澳太蛇
Rasborinus formosae	细鳊;台细鳊
Bambusa bambos	印度簕竹
Diostracus albuginosus	白斑巨口长足虻
Gymnocypris potanini Herzenstein	松潘裸鲤
Gentiana aperta var. aureopunctata	黄斑龙胆
Glycera gigantean	巨吻沙蚕
Cacosternum striatus FitzSimons	条弱胸蛙
Phlogophilus harterti	秘鲁斑尾蜂鸟
Jurinea pamirica	帕米尔苓菊
Rubus subinopertus	紫红悬钩子
Spiraea cavaleriei	独山绣线菊
Galium nankotaizanum	南湖大山猪殃殃
Atherurus africanus	非洲帚尾豪猪
Cyprinella chloristia	黄绿真小鲤
Circaea repens	匍匐露珠草
Kyarranus kungdagungan Ingram et Corben	康卡蟾
Nasoona eustylis	尤斯屿蛛
Turdus torquatus	环颈鸫
Polygonum foliosum	多叶蓼;宽基多叶蓼
Paradisaea rubra	红极乐鸟
Scapania irrigua	湿生合叶苔
Carteriospongia austrlia	澳大利亚卡特海绵
Cyprinion mhalensis	沙特似真小鲤
Cheirogaleus crossleyi	克氏鼠狐猴
Urocissa erythrorhyncha subsp. erythrorhyncha	红嘴蓝鹊
Hieraaetus pennatus	靴隼鵰;靴隼雕;靴鵰;靴雕
Phreatia caulescens	垂茎馥兰
Chorizopes shimenensis	石门壮头蛛
Euphydryas aurinia	金堇蛱蝶
Coereba flaveola	蕉森莺
Pellaea connectens	四川旱蕨
Stachys geobombycis	地蚕;地蚕白花变种
Zebrida adamsii	亚当斯斑蟹
Nannoglottis gynura	狭舌毛冠菊
Pseudoboletia indiana	印度蘑海胆
Mesopenaeus brucei	布氏间对虾
Theridion karamayense	克拉球蛛
Pygoscelis adeliae	阿德利企鹅
Dryoathyrium unifurcatum	峨眉介蕨
Turdus plumbeus	红腿鸫
Hyla wolterstorffi Wern	沃氏雨蛙
Rubia membranacea	金线草
Myleus torquatus	项圈锯腹脂鲤
Polygonum longisetum var. rotundatum	圆基长鬃蓼
Gastrotheca microdiscu	小吸盘囊蛙
Oxytropis hirsuta	长硬毛棘豆
Canavalia cathartica	小刀豆
Pseudotriton m.floridanus	
Blumea riparia	假东风草
Anabarilius transmontana	山白鱼
Photis angustimanus	窄掌亮钩虾
Hydrangea dumicola	银针绣球
Heleioporus australiacus	澳洲泽穴蟾
Cortinarius rufolatus	紫红丝膜菌
Bufo juxtasper	毗刺蟾蜍
Eulabeornis castaneoventris	栗腹秧鸡
Acrocephalus stentoreus (Hemprich et Ehrenberg,)	噪大苇莺
Oxalis griffithii	山酢浆草
Ophiopogon clavatus	棒叶沿阶草
Sabia yunnanensis	阔叶清风藤;云南清风藤
Astyanax villwocki	维氏丽脂鲤
Telmatobius vellardi	维拉池蟾
Tanaecia jahnu	褐裙玳蛱蝶
Chlidonias leucoptera	白翅浮鸥
Rhododendron lateriflorum	侧花杜鹃
Sorex satunini	萨氏鼩鼱
Codium geppiorum	杰氏松藻
Maculinea arion subsp. arion	霾灰蝶指名亚种
Cryptotis thomasi	厄瓜多尔小麝鼩
Rattus adustus	火家鼠
Castilleja pallida	火焰草
Cricetulus kamensis subsp. kozlovi	祁连山亚种
Munida incerta	长鞭刺铠虾
Salix oritrepha	青山生柳;山生柳
Acer erianthum	毛花槭
Eleutherodactylus chloronotus	绿背卵齿蟾
Anthus gustavi subsp. menzbieri	北鹨
Saxifraga valleculosa	山箐虎耳草
Dendrilla membranosa	皮膜枝骨海绵
Daphne longilobata	长瓣瑞香
Lecithocera latebrata	潜平祝蛾
Hedysarum iliense	伊犁岩黄耆
Vitex canescens	灰毛牡荆
Callicarpa cathayana	华紫珠
Tupinambis nigropunctatu	黑点双领蜥
Anago anago	齐头鳗
Pycnonotus eutilotus	凤头褐鹎
Boiga cyanea	绿林蛇
Arhopala paramuta subsp. horishana	小娆灰蝶台湾亚种
Trigonella monantha	单花胡卢巴
Rasbora atridorsalis	黑背波鱼
Dendrobium ellipsophyllum	反瓣石斛
Cousinia sclerolepis	硬苞刺头菊
Anagyrus nesticoccus	巢粉蚧长索跳小蜂
Chamaeleo xenorhinus Boulenger	异盾避役
Philinopsis lineolata	条纹拟海牛
Campylotropis yunnanensis	丝梗杭子梢;滇子梢
Gracilaria eucheumoides	凤尾菜
Codium adhaerens	匍匐松藻
Geranium strictipes	紫地榆
Allothunnus fallai	细鲣
Abisara saturata subsp. saturata	梯翅褐蚬蝶指名亚种
Myiarchus opicalis	尖顶蝇霸鹟
Oreolalax liangbeiensis Liu et Fei	凉北齿蟾
Meteoriopsis reclinata	反叶粗蔓藓
Daphne odora	金边瑞香;瑞香
Prioneris clemanthe subsp. euclemanthe	红肩锯粉蝶海南亚种
Limonium tenellum	细枝补血草
Alpinia uraiensis	大花山姜
Brachypodium pinnatum	羽状短柄草
Asparagus tibeticus	西藏天门冬
Rhoiptelea chiliantha	马尾树
Apristurus sinensis Chu et Wu	中华光尾鲨
Ampelopsis bodinieri var. cinerea	灰毛蛇葡萄
Serpophaga hypoleuca	溪姬霸鹟
Cottiusculus gonez Schmidt	小杜父鱼
Callipteris esculenta	毛轴菜蕨;菜蕨
Crypturellus atrocapillus	红腿穴(共鸟)
Ilex fragilis f. kingii	毛薄叶冬青
Lecithocera pulchella	美祝蛾
Mirafra albicauda	白尾歌百灵
Pterodroma cookii	库氏圆尾鹱
Acridotheres albocinctusGodwin-Austen	白领八哥
Phrynobatrachus petropedetoides	石蟾蛙
Mastigophora diclados	硬须苔
Neolitsea chrysotricha	金毛新木姜子
Sphaenorhynchus eurhostus	尤圆吻蛙
Serrasalmus sanchezi	桑切氏锯脂鲤
Eremias grammica	网纹麻蜥;昆仑麻蜥
Glycosmis pseudoracemosa	华山小橘
Eleutherodactylus pastazensis Andersson	帕塔卵齿蟾
Hyla hazelae Taylor	黑兹尔雨蛙
Trichosanthes trichocarpa	杏籽栝楼
Pomadasys argenteus	银石鲈
Aipysurus tenuis Lonnberg et Anderson	乔贝角剑尾海蛇
Cobitis elongata	长鳅
Pseudobagrus medianalis	中臀拟鲿
Euonymus gibber	流苏卫矛
Mitra avenacea	掩埋内氏螺
Sinogastromyzon sichangensis Chang	西昌华吸鳅
Bombomyia discoidea	盘禅蜂虻
Araneus bimaculicollis	双斑园蛛
Aphaniotis fusca	马来蜥
Chiromyscus chiropus	中南树鼠
Deutzia compacta	密序溲疏
Bolitoglossa colonnea	短游舌螈
Acentrogobius ripilepis	扁鳞细棘鰕虎鱼
Potamochoerus larvatus	假面野猪
Salix chaenomeloides	腺柳;钝叶腺柳;腺叶腺柳
Asplenium unilaterale	半边铁角蕨
Aralia dasyphylla	头序楤木
Araneus octodentalis	八齿园蛛
Sorex raddei	杜氏鼩鼱
Rhodiola fastigiata	长鞭红景天
Rana m.microdisca Boettger	小指盘蛙指名亚种
Camellia grijsii	长瓣短柱茶;小叶短柱茶
Cryptocarya amygdalina	杏仁厚壳桂
Neolitsea alongensis	下龙新木姜子
Barbus ciscaucasicus	捷列克魮
Microterys rufofulvus	红黄花翅跳小蜂
Alopecosa solivaga	独行舞蛛
Pieris brassicae	欧洲粉蝶
Puntius amphibius	两栖无须魮
Angelica morrisonicola	南湖当归;玉山当归
Aegithalos caudatus (Linnaeus,)	银喉(长尾)山雀
Sylvia nisoria (Bechstein,)	横斑林莺
Codonopsis convolvulacea subsp. forrestii	珠子参
Elapropoda taiwanica	台湾长足条蜂
Coryphaena equisetis Linnaeus	棘鲯鳅
Leptodermis schneideri	纤枝野丁香
Chamaeleo carpenteri Parker	东非避役
Systropus submixtus(Séguy,	三突姬蜂虻
Bambusa dolichoclada	长枝竹;条纹长枝竹
Ligustrum sinense var. dissimile	异型小蜡
Blumea henryi	尖苞艾纳香
Salix bouffordii	点苍柳
Bredia hirsuta	野海棠
Tainia latifolia	阔叶带唇兰
Coelioxys rufescens	黄带尖腹蜂
Diaphorus ochripes	黄足异长足虻
Mogrus antoninus	安东莫鲁蛛
Dendrobates tatamancae	塔塔丛蛙
Sitta europaeaLinnaeus	普通鳾
Turnix hottentotta	撒哈拉三趾鹑
Cyprinion macrostomus	大口小鲤;大口似真小鲤
Pouzolzia sanguinea	红雾水葛;雅致雾水葛
Dryopteris yoroii	栗柄鳞毛蕨
Saxifraga nakaoides	平脉腺虎耳草
Myleus schomburgkii	斯氏锯腹脂鲤
Geranium saxatile	岩生老鹳草
Notoscincus wotjulum	细鳞背蜥
Makalata armata	胄树棘鼠
Chirolophis ascani	大西洋笠鳚
Rana wuchuanensis	务川臭蛙
Agathia hilarata subsp. hainanensis	平艳青尺蛾海南亚种
Anhydrophyrne rattrayi	拉特雷干蛙
Viburnum cinnamomifolium	樟叶荚蒾
Salvinia natans	槐叶苹
Justicia quadrifaria	杜根藤
Campyliadelphus polygamum	阔叶拟细湿藓
Protobothrops flavoviridis	黄绿烙铁头
Typosyllis monilata	圆模裂虫
Paeonia lactiflora	芍药
Chaetodon charysurus	桔尾蝴蝶鱼
Hibiscus surattensis	刺芙蓉
Fissistigma retusum	凹叶瓜馥木
Sinofranchetia chinensis	串果藤
Heloderma horridum	毒蜥
Varicorhinus beso	比索突吻鱼
Micoureus paraguayanus	塔氏绵鼠负鼠
Creagrutus planquettei	普氏钩齿脂鲤
Coilia grayii	七丝鲚
Rana m.magna Stejneger	大齿蛙大型亚种
Bryoerythrophyllum tenerrimum	细红叶藓
Pandava hunanensis	湖南曲隐蛛
Caecilia subterminalis Taylor	亚端真蚓
